trial,run,condition,judgement,word1,word2,correct_resp,instr_start
1,2,fixation,fixation,fixation,fixation,0,1
2,2,O+_norhyme,rhyming,dread,plead,4,1
3,2,O+_norhyme,rhyming,cove,love,4,0
4,2,O+_norhyme,rhyming,hose,lose,4,0
5,2,O+_rhyme,rhyming,lobby,hobby,3,0
6,2,O+_rhyme,rhyming,peace,piece,3,0
7,2,O+_norhyme,rhyming,vows,tows,4,0
8,2,O+_rhyme,rhyming,white,write,3,0
9,2,O+_rhyme,rhyming,plane,crane,3,0
10,2,O-_rhyme,rhyming,stuff,rough,3,0
11,2,O-_norhyme,rhyming,scary,brake,4,0
12,2,O-_norhyme,rhyming,super,clear,4,0
13,2,O-_norhyme,rhyming,chalk,cloud,4,0
14,2,O-_rhyme,rhyming,eight,state,3,0
15,2,O-_rhyme,rhyming,teeny,genie,3,0
16,2,O-_rhyme,rhyming,stuff,tough,3,0
17,2,O-_norhyme,rhyming,blond,milky,4,0
18,2,fixation,fixation,fixation,fixation,0,1
19,2,FF_same,identity,crowd,crowd,3,1
20,2,FF_diff,identity,dear,wear,4,0
21,2,FF_same,identity,cross,cross,3,0
22,2,FF_diff,identity,chewy,gooey,4,0
23,2,FF_same,identity,hobby,hobby,3,0
24,2,FF_diff,identity,tomb,bomb,4,0
25,2,FF_diff,identity,lone,none,4,0
26,2,FF_same,identity,place,place,3,0
27,2,FF_diff,identity,right,night,4,0
28,2,FF_same,identity,climb,climb,3,0
29,2,FF_same,identity,twice,twice,3,0
30,2,FF_diff,identity,store,force,4,0
31,2,fixation,fixation,fixation,fixation,0,1
32,2,O-_rhyme,rhyming,devil,level,3,1
33,2,O-_rhyme,rhyming,chute,scoot,3,0
34,2,O-_rhyme,rhyming,quite,fight,3,0
35,2,O-_rhyme,rhyming,state,eight,3,0
36,2,O-_norhyme,rhyming,float,jelly,4,0
37,2,O-_norhyme,rhyming,zebra,panda,4,0
38,2,O-_norhyme,rhyming,bless,speed,4,0
39,2,O-_norhyme,rhyming,river,light,4,0
40,2,O+_norhyme,rhyming,dull,pull,4,0
41,2,O+_norhyme,rhyming,maid,said,4,0
42,2,O+_norhyme,rhyming,farm,warm,4,0
43,2,O+_rhyme,rhyming,flake,brake,3,0
44,2,O+_rhyme,rhyming,money,honey,3,0
45,2,O+_rhyme,rhyming,place,space,3,0
46,2,O+_norhyme,rhyming,dough,cough,4,0
47,2,O+_rhyme,rhyming,study,buddy,3,0
48,2,fixation,fixation,fixation,fixation,0,1
49,2,FF_diff,identity,until,until,4,1
50,2,FF_same,identity,piece,piece,3,0
51,2,FF_same,identity,chief,chief,3,0
52,2,FF_diff,identity,bone,wash,4,0
53,2,FF_diff,identity,vows,tows,4,0
54,2,FF_same,identity,alone,alone,3,0
55,2,FF_same,identity,eight,eight,3,0
56,2,FF_same,identity,earth,earth,3,0
57,2,FF_diff,identity,still,until,4,0
58,2,FF_diff,identity,bush,rush,4,0
59,2,FF_same,identity,weird,weird,3,0
60,2,FF_diff,identity,great,fight,4,0
61,2,fixation,fixation,fixation,fixation,0,1
62,2,O-_norhyme,rhyming,porch,shoot,4,1
63,2,O-_rhyme,rhyming,waist,paste,3,0
64,2,O-_norhyme,rhyming,bacon,shade,4,0
65,2,O-_rhyme,rhyming,chewy,gooey,3,0
66,2,O-_norhyme,rhyming,weigh,fudge,4,0
67,2,O-_rhyme,rhyming,horse,force,3,0
68,2,O-_norhyme,rhyming,house,store,4,0
69,2,O-_rhyme,rhyming,still,until,3,0
70,2,O+_rhyme,rhyming,marry,carry,3,0
71,2,O+_rhyme,rhyming,clank,plank,3,0
72,2,O+_norhyme,rhyming,four,sour,4,0
73,2,O+_rhyme,rhyming,grape,shape,3,0
74,2,O+_norhyme,rhyming,mood,hood,4,0
75,2,O+_norhyme,rhyming,cash,wash,4,0
76,2,O+_rhyme,rhyming,right,night,3,0
77,2,O+_norhyme,rhyming,near,wear,4,0
