trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,18,1,fixation,fixation,fixation,fixation,fixation,0,1
2,18,1,phonological,rhyming,cvc_only,vokem,keach,4,1
3,18,1,phonological,rhyming,cvc_only,tynk,synk,3,0
4,18,1,phonological,rhyming,cvc_only,woves,soves,3,0
5,18,1,phonological,rhyming,cvc_only,chig,trass,4,0
6,18,2,fixation,fixation,fixation,fixation,fixation,0,1
7,18,2,false_font,identity,control,elam,elam,3,1
8,18,2,false_font,identity,control,nover,sover,4,0
9,18,2,false_font,identity,control,selay,uelay,4,0
10,18,2,false_font,identity,control,halg,halg,3,0
11,18,3,fixation,fixation,fixation,fixation,fixation,0,1
12,18,3,phonological,rhyming,metronome_only,grawn,fisp,4,1
13,18,3,phonological,rhyming,metronome_only,sark,freg,4,0
14,18,3,phonological,rhyming,metronome_only,zurf,hurf,3,0
15,18,3,phonological,rhyming,metronome_only,fouse,bouse,3,0
16,18,4,fixation,fixation,fixation,fixation,fixation,0,1
17,18,4,orthographic,identity,metronome_only,sought,flies,4,1
18,18,4,orthographic,identity,metronome_only,milks,milks,3,0
19,18,4,orthographic,identity,metronome_only,glaze,bench,4,0
20,18,4,orthographic,identity,metronome_only,fuel,fuel,3,0
21,18,5,fixation,fixation,fixation,fixation,fixation,0,1
22,18,5,orthographic,identity,cvc_metronome,stain,stain,3,1
23,18,5,orthographic,identity,cvc_metronome,rolls,baths,4,0
24,18,5,orthographic,identity,cvc_metronome,zoos,zoos,3,0
25,18,5,orthographic,identity,cvc_metronome,sizes,roofs,4,0
26,18,6,fixation,fixation,fixation,fixation,fixation,0,1
27,18,6,false_font,identity,control,hobo,wobo,4,1
28,18,6,false_font,identity,control,built,built,3,0
29,18,6,false_font,identity,control,whiz,xhiz,4,0
30,18,6,false_font,identity,control,sulky,sulky,3,0
31,18,7,fixation,fixation,fixation,fixation,fixation,0,1
32,18,7,orthographic,identity,cvc_only,lute,lute,3,1
33,18,7,orthographic,identity,cvc_only,brass,brass,3,0
34,18,7,orthographic,identity,cvc_only,worms,awake,4,0
35,18,7,orthographic,identity,cvc_only,grace,nice,4,0
36,18,8,fixation,fixation,fixation,fixation,fixation,0,1
37,18,8,phonological,rhyming,cvc_metronome,gorf,zorf,3,1
38,18,8,phonological,rhyming,cvc_metronome,chike,cise,4,0
39,18,8,phonological,rhyming,cvc_metronome,tramt,caker,4,0
40,18,8,phonological,rhyming,cvc_metronome,foose,koose,3,0
