trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,11,1,fixation,fixation,fixation,fixation,fixation,0,1
2,11,1,false_font,identity,control,navy,navy,3,1
3,11,1,false_font,identity,control,dovet,zovet,4,0
4,11,1,false_font,identity,control,yarry,aarry,4,0
5,11,1,false_font,identity,control,golf,folf,4,0
6,11,2,fixation,fixation,fixation,fixation,fixation,0,1
7,11,2,orthographic,identity,cvc_metronome,char,wart,4,1
8,11,2,orthographic,identity,cvc_metronome,goat,goat,3,0
9,11,2,orthographic,identity,cvc_metronome,loans,hoof,4,0
10,11,2,orthographic,identity,cvc_metronome,trial,size,4,0
11,11,3,fixation,fixation,fixation,fixation,fixation,0,1
12,11,3,false_font,identity,control,freet,freet,3,1
13,11,3,false_font,identity,control,hurry,hurry,3,0
14,11,3,false_font,identity,control,dica,fica,4,0
15,11,3,false_font,identity,control,vange,wange,4,0
16,11,4,fixation,fixation,fixation,fixation,fixation,0,1
17,11,4,phonological,rhyming,metronome_only,reag,srole,4,1
18,11,4,phonological,rhyming,metronome_only,zokel,rokel,3,0
19,11,4,phonological,rhyming,metronome_only,zeak,loir,4,0
20,11,4,phonological,rhyming,metronome_only,vange,kange,3,0
21,11,5,fixation,fixation,fixation,fixation,fixation,0,1
22,11,5,orthographic,identity,cvc_only,sighs,sighs,3,1
23,11,5,orthographic,identity,cvc_only,oust,reef,4,0
24,11,5,orthographic,identity,cvc_only,kite,body,4,0
25,11,5,orthographic,identity,cvc_only,smog,smog,3,0
26,11,6,fixation,fixation,fixation,fixation,fixation,0,1
27,11,6,phonological,rhyming,cvc_only,slout,anks,4,1
28,11,6,phonological,rhyming,cvc_only,gret,rhet,3,0
29,11,6,phonological,rhyming,cvc_only,vath,clire,4,0
30,11,6,phonological,rhyming,cvc_only,shik,morny,4,0
31,11,7,fixation,fixation,fixation,fixation,fixation,0,1
32,11,7,orthographic,identity,metronome_only,saint,saint,3,1
33,11,7,orthographic,identity,metronome_only,even,even,3,0
34,11,7,orthographic,identity,metronome_only,snake,reams,4,0
35,11,7,orthographic,identity,metronome_only,birds,birds,3,0
36,11,8,fixation,fixation,fixation,fixation,fixation,0,1
37,11,8,phonological,rhyming,cvc_metronome,chait,nisa,4,1
38,11,8,phonological,rhyming,cvc_metronome,gutch,kutch,3,0
39,11,8,phonological,rhyming,cvc_metronome,horty,morty,3,0
40,11,8,phonological,rhyming,cvc_metronome,beon,zeon,3,0
