trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,2,1,fixation,fixation,fixation,fixation,fixation,0,1
2,2,1,orthographic,identity,cvc_only,what,sleet,4,1
3,2,1,orthographic,identity,cvc_only,numb,numb,3,0
4,2,1,orthographic,identity,cvc_only,crank,brats,4,0
5,2,1,orthographic,identity,cvc_only,surf,cube,4,0
6,2,2,fixation,fixation,fixation,fixation,fixation,0,1
7,2,2,orthographic,identity,cvc_metronome,grown,grown,3,1
8,2,2,orthographic,identity,cvc_metronome,tour,tour,3,0
9,2,2,orthographic,identity,cvc_metronome,blob,bombs,4,0
10,2,2,orthographic,identity,cvc_metronome,whiz,vibes,4,0
11,2,3,fixation,fixation,fixation,fixation,fixation,0,1
12,2,3,phonological,rhyming,metronome_only,afes,jase,4,1
13,2,3,phonological,rhyming,metronome_only,frave,geeds,4,0
14,2,3,phonological,rhyming,metronome_only,glung,zlung,3,0
15,2,3,phonological,rhyming,metronome_only,tuse,sman,4,0
16,2,4,fixation,fixation,fixation,fixation,fixation,0,1
17,2,4,phonological,rhyming,cvc_only,dony,kert,4,1
18,2,4,phonological,rhyming,cvc_only,hosh,zosh,3,0
19,2,4,phonological,rhyming,cvc_only,leel,zeel,3,0
20,2,4,phonological,rhyming,cvc_only,gnal,mung,4,0
21,2,5,fixation,fixation,fixation,fixation,fixation,0,1
22,2,5,orthographic,identity,metronome_only,thug,thug,3,1
23,2,5,orthographic,identity,metronome_only,such,such,3,0
24,2,5,orthographic,identity,metronome_only,beef,beef,3,0
25,2,5,orthographic,identity,metronome_only,scan,folk,4,0
26,2,6,fixation,fixation,fixation,fixation,fixation,0,1
27,2,6,false_font,identity,control,meaf,leaf,4,1
28,2,6,false_font,identity,control,vour,kour,4,0
29,2,6,false_font,identity,control,slange,plange,4,0
30,2,6,false_font,identity,control,twarf,twarf,3,0
31,2,7,fixation,fixation,fixation,fixation,fixation,0,1
32,2,7,phonological,rhyming,cvc_metronome,zosh,alid,4,1
33,2,7,phonological,rhyming,cvc_metronome,blont,flont,3,0
34,2,7,phonological,rhyming,cvc_metronome,mefs,zefs,3,0
35,2,7,phonological,rhyming,cvc_metronome,liren,kiren,3,0
36,2,8,fixation,fixation,fixation,fixation,fixation,0,1
37,2,8,false_font,identity,control,flirk,flirk,3,1
38,2,8,false_font,identity,control,cherb,brerb,4,0
39,2,8,false_font,identity,control,slirk,slirk,3,0
40,2,8,false_font,identity,control,brith,srith,4,0
